countyFIPS,year,proprietors,prop_percap,prop_growth,str,imtr,cmtr,KPost2012,qtryr,pop10,tt_CO,tt_KS,tt_MO,tt_NE,tt_OK
8059,2011,88234,0.163437156,0.020282146,2.9,4.63,4.63,0,2011.1,53.9865,8,0,0,0,0
8059,2012,88498,0.162060504,0.002992044,2.9,4.63,4.63,0,2012.1,54.608,9,0,0,0,0
8059,2013,90763,0.164451942,0.025593799,2.9,4.63,4.63,0,2013.1,55.1912,10,0,0,0,0
8059,2014,92052,0.164650244,0.014201822,2.9,4.63,4.63,0,2014.1,55.9076,11,0,0,0,0
8061,2010,588,0.421203438,-0.993612306,2.9,4.63,4.63,0,2010.1,0.1396,7,0,0,0,0
8061,2011,580,0.398078243,-0.013605442,2.9,4.63,4.63,0,2011.1,0.1457,8,0,0,0,0
8061,2012,594,0.413073713,0.024137931,2.9,4.63,4.63,0,2012.1,0.1438,9,0,0,0,0
8061,2013,615,0.434015526,0.035353535,2.9,4.63,4.63,0,2013.1,0.1417,10,0,0,0,0
8061,2014,598,0.424414478,-0.027642276,2.9,4.63,4.63,0,2014.1,0.1409,11,0,0,0,0
8063,2010,1795,0.217654905,2.001672241,2.9,4.63,4.63,0,2010.1,0.8247,7,0,0,0,0
8063,2011,1874,0.228508718,0.044011142,2.9,4.63,4.63,0,2011.1,0.8201,8,0,0,0,0
8063,2012,1789,0.220673492,-0.045357524,2.9,4.63,4.63,0,2012.1,0.8107,9,0,0,0,0
8063,2013,1848,0.223215364,0.032979318,2.9,4.63,4.63,0,2013.1,0.8279,10,0,0,0,0
8063,2014,1839,0.228333747,-0.00487013,2.9,4.63,4.63,0,2014.1,0.8054,11,0,0,0,0
8065,2010,878,0.120820146,-0.522566612,2.9,4.63,4.63,0,2010.1,0.7267,7,0,0,0,0
8065,2011,936,0.126984127,0.066059226,2.9,4.63,4.63,0,2011.1,0.7371,8,0,0,0,0
8065,2012,956,0.131318681,0.021367521,2.9,4.63,4.63,0,2012.1,0.728,9,0,0,0,0
8065,2013,1073,0.147066886,0.122384937,2.9,4.63,4.63,0,2013.1,0.7296,10,0,0,0,0
8065,2014,1105,0.150319684,0.029822926,2.9,4.63,4.63,0,2014.1,0.7351,11,0,0,0,0
8067,2010,12080,0.235138397,9.932126697,2.9,4.63,4.63,0,2010.1,5.1374,7,0,0,0,0
8067,2011,12296,0.23742952,0.017880795,2.9,4.63,4.63,0,2011.1,5.1788,8,0,0,0,0
8067,2012,12232,0.233631293,-0.005204945,2.9,4.63,4.63,0,2012.1,5.2356,9,0,0,0,0
8067,2013,12353,0.231594143,0.009892086,2.9,4.63,4.63,0,2013.1,5.3339,10,0,0,0,0
8067,2014,12665,0.235050666,0.025257023,2.9,4.63,4.63,0,2014.1,5.3882,11,0,0,0,0
8069,2010,51651,0.171870373,3.078247138,2.9,4.63,4.63,0,2010.1,30.0523,7,0,0,0,0
8069,2011,53432,0.175033659,0.034481423,2.9,4.63,4.63,0,2011.1,30.5267,8,0,0,0,0
8069,2012,53368,0.1716206,-0.001197784,2.9,4.63,4.63,0,2012.1,31.0965,9,0,0,0,0
8069,2013,54963,0.173601175,0.029886824,2.9,4.63,4.63,0,2013.1,31.6605,10,0,0,0,0
8069,2014,56871,0.175144514,0.034714262,2.9,4.63,4.63,0,2014.1,32.4709,11,0,0,0,0
8071,2010,2242,0.145660083,-0.960577447,2.9,4.63,4.63,0,2010.1,1.5392,7,0,0,0,0
8071,2011,2258,0.15026286,0.007136485,2.9,4.63,4.63,0,2011.1,1.5027,8,0,0,0,0
8071,2012,2217,0.148125877,-0.018157662,2.9,4.63,4.63,0,2012.1,1.4967,9,0,0,0,0
8071,2013,2173,0.150892299,-0.01984664,2.9,4.63,4.63,0,2013.1,1.4401,10,0,0,0,0
8071,2014,2190,0.155628198,0.007823286,2.9,4.63,4.63,0,2014.1,1.4072,11,0,0,0,0
8073,2010,1108,0.202559415,-0.494063927,2.9,4.63,4.63,0,2010.1,0.547,7,0,0,0,0
8073,2011,1102,0.202909225,-0.005415162,2.9,4.63,4.63,0,2011.1,0.5431,8,0,0,0,0
8073,2012,1110,0.203969129,0.007259528,2.9,4.63,4.63,0,2012.1,0.5442,9,0,0,0,0
8073,2013,1129,0.207918969,0.017117117,2.9,4.63,4.63,0,2013.1,0.543,10,0,0,0,0
8073,2014,1051,0.190848012,-0.069087688,2.9,4.63,4.63,0,2014.1,0.5507,11,0,0,0,0
8075,2010,3422,0.154652687,2.255946717,2.9,4.63,4.63,0,2010.1,2.2127,7,0,0,0,0
8075,2011,3530,0.159757422,0.031560491,2.9,4.63,4.63,0,2011.1,2.2096,8,0,0,0,0
8075,2012,3539,0.16199762,0.002549575,2.9,4.63,4.63,0,2012.1,2.1846,9,0,0,0,0
8075,2013,3606,0.166481994,0.018931902,2.9,4.63,4.63,0,2013.1,2.166,10,0,0,0,0
8075,2014,3569,0.162670921,-0.010260677,2.9,4.63,4.63,0,2014.1,2.194,11,0,0,0,0
