year,stateFIPS,countyFIPS,PPCSTOT,TOTALEXP,TCURSPND
2010,31,31107.0,83135,22447,19685
2010,31,31109.0,48135,480257,397002
2010,31,31111.0,67486,60874,55374
2010,31,31113.0,14040,2775,2471
2010,31,31115.0,15029,1784,1563
2010,31,31117.0,17627,1729,1463
2010,31,31119.0,59521,63305,56879
2010,31,31121.0,19870,15141,10246
2010,31,31123.0,24399,14396,11339
2010,31,31125.0,21119,9636,8817
2010,31,31127.0,20860,18726,17296
2010,31,31129.0,12605,7350,5791
2010,31,31131.0,30893,43873,25940
2010,31,31133.0,27033,6795,6479
2010,31,31135.0,14069,7019,5529
2010,31,31137.0,34937,23046,20833
2010,31,31139.0,35342,15557,14691
2010,31,31141.0,31654,60939,51483
2010,31,31143.0,46606,16792,14389
2010,31,31145.0,22850,21477,18472
2010,31,31147.0,22346,16016,14709
2010,31,31149.0,16799,3450,3259
2010,31,31151.0,42852,38127,28469
2010,31,31153.0,38795,236981,215243
2010,31,31155.0,53804,35642,26747
2010,31,31157.0,50471,84739,66126
2010,31,31159.0,32235,35053,32678
2010,31,31161.0,25653,11912,10783
2010,31,31163.0,24080,7406,5933
2010,31,31165.0,22949,2351,2249
2010,31,31167.0,9833,5045,4602
2010,31,31169.0,48969,14543,12261
2010,31,31171.0,19412,2125,1883
2010,31,31173.0,57515,32227,22417
2010,31,31175.0,25441,10417,8435
2010,31,31177.0,28631,41173,33221
2010,31,31179.0,33497,18247,16291
2010,31,31181.0,21862,7588,6835
2010,31,31183.0,18647,2613,2163
2010,31,31185.0,32909,22621,19551
2010,40,40001.0,103582,43995,41889
2010,40,40003.0,32174,7674,6843
2010,40,40005.0,50949,21739,20796
2010,40,40007.0,48587,12753,12305
2010,40,40009.0,48090,29714,28917
2010,40,40011.0,42273,19527,19291
2010,40,40013.0,75145,64945,62003
2010,40,40015.0,96533,66035,60983
2010,40,40017.0,77978,196207,169643
2010,40,40019.0,72595,75885,71719
2010,40,40021.0,100842,69051,64262
2010,40,40023.0,61531,24258,23366
2010,40,40025.0,39156,5472,5082
2010,40,40027.0,42018,375398,316603
2010,40,40029.0,30949,13170,12900
2010,40,40031.0,74941,205528,196944
2010,40,40033.0,27254,10294,9849
2010,40,40035.0,36779,25990,25256
2010,40,40037.0,108242,118547,109816
2010,40,40039.0,45995,45428,39254
2010,40,40041.0,94581,60695,57582
2010,40,40043.0,47335,11277,10786
2010,40,40045.0,41366,9147,8496
2010,40,40047.0,72458,93394,86331
2010,40,40049.0,63132,43901,41497
2010,40,40051.0,88505,68028,62960
2010,40,40053.0,33396,8851,8124
2010,40,40055.0,19276,9735,8560
2010,40,40057.0,9449,5009,5008
2010,40,40059.0,18102,6865,6743
2010,40,40061.0,41978,18301,17786
2010,40,40063.0,45728,26337,23111
2010,40,40065.0,49395,40353,39631
2010,40,40067.0,37107,11449,11136
2010,40,40069.0,64044,16517,16008
2010,40,40071.0,52370,80856,76743
2010,40,40073.0,51249,29959,26406
2010,40,40075.0,39833,16175,15497
2010,40,40077.0,40953,16584,15784
2010,40,40079.0,152267,85009,80634
2010,40,40081.0,69679,47094,43287
2010,40,40083.0,35021,35985,35116
2010,40,40085.0,33675,13757,12822
2010,40,40087.0,49591,51143,45000
2010,40,40089.0,118311,62444,59730
2010,40,40091.0,53923,28826,27722
2010,40,40093.0,28139,11239,10700
2010,40,40095.0,15159,24051,21801
2010,40,40097.0,65879,62126,57537
2010,40,40099.0,13348,17589,15988
2010,40,40101.0,79980,112257,102456
2010,40,40103.0,41512,20698,19545
2010,40,40105.0,25106,17033,15842
2010,40,40107.0,49433,18054,17611
2010,40,40109.0,109139,1021405,926861
2010,40,40111.0,72872,63496,58901
2010,40,40113.0,110711,37836,35804
2010,40,40115.0,56491,66888,62931
2010,40,40117.0,24301,21059,19409
2010,40,40119.0,54289,92343,83243
2010,40,40121.0,121101,67195,64841
2010,40,40123.0,59831,59789,56557
2010,40,40125.0,106795,106118,97405
2010,40,40127.0,69811,21380,20792
2010,40,40129.0,29852,8561,6476
2010,40,40131.0,63170,116478,103330
2010,40,40133.0,88089,42558,40737
2010,40,40135.0,103520,71637,68321
2010,40,40137.0,59720,62906,61310
2010,40,40139.0,91712,35132,34132
2010,40,40141.0,43217,16079,15449
2010,40,40143.0,97229,968784,857180
2010,40,40145.0,29253,51037,47270
2010,40,40147.0,29257,66814,60880
2010,40,40149.0,32339,18137,16603
2010,40,40151.0,28659,14671,12143
2010,40,40153.0,37915,34293,27012
2011,8,8001.0,56099,803896,703162
2011,8,8003.0,18894,54352,25641
2011,8,8005.0,69407,1208672,1004880
2011,8,8007.0,8688,13859,13074
2011,8,8009.0,62917,10131,9624
2011,8,8011.0,17233,8289,7340
2011,8,8013.0,17432,699255,514414
2011,8,8015.0,19972,25006,20949
2011,8,8017.0,31750,5337,4824
2011,8,8019.0,9569,11790,9659
