,idcode,itemcode,amount,year,flag,stateFIPS,countyFIPS
520925,17406980100000,E50,155,2012,R,20.0,20137.0
520991,17407020100000,E50,27,2012,I,20.0,20139.0
520998,17407020200000,E50,30,2012,I,20.0,20139.0
521185,17407160100000,E50,50,2012,I,20.0,20141.0
521196,17407160200000,E50,34,2012,I,20.0,20141.0
521203,17407180200000,E50,40,2012,I,20.0,20141.0
521287,17407216200000,E50,1518,2012,R,20.0,20143.0
521292,17407220100000,E50,23,2012,I,20.0,20143.0
521316,17407280100000,E50,180,2012,I,20.0,20143.0
521347,17407320100000,E50,175,2012,R,20.0,20145.0
521390,17407420100000,E50,39,2012,R,20.0,20147.0
521412,17407460100000,E50,80,2012,R,20.0,20147.0
521420,17407480100000,E50,169,2012,R,20.0,20147.0
521468,17407520100000,E50,13,2012,I,20.0,20149.0
521474,17407520200000,E50,14,2012,R,20.0,20149.0
521514,17407560100000,E50,2601,2012,I,20.0,20149.0
521522,17407560200000,E50,72,2012,I,20.0,20149.0
521578,17407720100000,E50,245,2012,I,20.0,20153.0
521584,17407780100000,E50,88,2012,R,20.0,20153.0
521627,17407815200000,E50,693,2012,I,20.0,20155.0
521633,17407820100000,E50,15,2012,R,20.0,20155.0
521707,17407880100000,E50,132,2012,R,20.0,20155.0
521835,17407920100000,E50,78,2012,I,20.0,20157.0
521842,17407920200000,E50,11,2012,R,20.0,20157.0
521917,17408080100000,E50,65,2012,I,20.0,20159.0
521923,17408080300000,E50,257,2012,I,20.0,20159.0
521979,17408116400000,E50,1381,2012,R,20.0,20161.0
522003,17408160100000,E50,2405,2012,R,20.0,20161.0
522110,17408220100000,E50,144,2012,R,20.0,20163.0
522120,17408220200000,E50,36,2012,R,20.0,20163.0
522128,17408220300000,E50,2305,2012,I,20.0,20163.0
522215,17408460100000,E50,180,2012,I,20.0,20167.0
522225,17408460200000,E50,19,2012,I,20.0,20167.0
522323,17408580100000,E50,2026,2012,R,20.0,20169.0
522367,17408660100000,E50,30,2012,I,20.0,20171.0
522489,17408730100000,E50,85,2012,R,20.0,20173.0
522601,17408820100000,E50,325,2012,I,20.0,20175.0
522695,17408915700000,E50,80,2012,I,20.0,20177.0
522702,17408920100000,E50,2049,2012,I,20.0,20177.0
522735,17408960200000,E50,79,2012,R,20.0,20177.0
522748,17408970100000,E50,10182,2012,R,20.0,20177.0
522809,17409060100000,E50,111,2012,I,20.0,20179.0
522821,17409160100000,E50,348,2012,R,20.0,20181.0
522854,17409220100000,E50,63,2012,I,20.0,20183.0
522861,17409220200000,E50,24,2012,I,20.0,20183.0
522866,17409220300000,E50,40,2012,I,20.0,20183.0
522876,17409260100000,E50,55,2012,I,20.0,20183.0
522960,17409320100000,E50,106,2012,R,20.0,20185.0
522968,17409320200000,E50,21,2012,R,20.0,20185.0
523002,17409520100000,E50,55,2012,I,20.0,20189.0
523051,17409620100000,E50,34,2012,I,20.0,20191.0
523056,17409620200000,E50,104,2012,R,20.0,20191.0
523060,17409620300000,E50,15,2012,I,20.0,20191.0
523110,17409680200000,E50,142,2012,I,20.0,20191.0
523175,17409780100000,E50,390,2012,R,20.0,20193.0
523192,17409820100000,E50,199,2012,R,20.0,20195.0
523257,17409920100000,E50,30,2012,I,20.0,20197.0
523261,17409920300000,E50,1370,2012,I,20.0,20197.0
523268,17409920400000,E50,1008,2012,I,20.0,20197.0
523389,17410160100000,E50,72,2012,I,20.0,20201.0
523402,17410160400000,E50,183,2012,I,20.0,20201.0
523408,17410180100000,E50,78,2012,R,20.0,20201.0
523414,17410180200000,E50,730,2012,I,20.0,20201.0
523425,17410180300000,E50,172,2012,I,20.0,20201.0
523474,17410220100000,E50,105,2012,I,20.0,20203.0
523564,17410320100000,E50,42,2012,I,20.0,20205.0
523581,17410360100000,E50,297,2012,R,20.0,20205.0
523718,17410420100000,E50,62,2012,R,20.0,20207.0
523723,17410420200000,E50,21,2012,I,20.0,20207.0
523783,17410550100000,E50,22248,2012,R,20.0,20209.0
523790,17410580100000,E50,502,2012,I,20.0,20209.0
62068,6000000000000,E50,94898,2014,R,8.0,
62244,6100100100000,E50,4558,2014,R,8.0,8001.0
62351,6100300300000,E50,1575,2014,R,8.0,8005.0
62514,6100700700000,E50,16744,2014,I,8.0,8013.0
62769,6101301300000,E50,257,2014,R,8.0,8025.0
62806,6101401400000,E50,45,2014,R,8.0,8027.0
62849,6101501500000,E50,148,2014,R,8.0,8029.0
62939,6101801700000,E50,7164,2014,R,8.0,8035.0
63004,6101901800000,E50,757,2014,R,8.0,8037.0
63100,6102102000000,E50,6036,2014,I,8.0,8041.0
63154,6102202100000,E50,121,2014,R,8.0,8043.0
63337,6102502400000,E50,1131,2014,R,8.0,8049.0
63396,6102602500000,E50,182,2014,R,8.0,8051.0
63564,6103002900000,E50,297,2014,R,8.0,8059.0
63926,6103803700000,E50,106,2014,R,8.0,8075.0
63986,6103903800000,E50,293,2014,I,8.0,8077.0
64069,6104104000000,E50,759,2014,R,8.0,8081.0
64266,6104504400000,E50,185,2014,R,8.0,8089.0
64457,6104904800000,E50,1014,2014,R,8.0,8097.0
64548,6105105000000,E50,8149,2014,R,8.0,8101.0
64606,6105205100000,E50,211,2014,R,8.0,8103.0
64726,6105405300000,E50,88,2014,R,8.0,8107.0
64765,6105505400000,E50,151,2014,R,8.0,8109.0
64930,6105905800000,E50,396,2014,R,8.0,8117.0
65222,6200100400000,E50,2824,2014,R,8.0,8001.0
65269,6200100600000,E50,90,2014,R,8.0,8001.0
65332,6200100700000,E50,5543,2014,R,8.0,8001.0
65446,6200300600000,E50,181,2014,R,8.0,8005.0
65507,6200350100000,E50,18694,2014,R,8.0,8005.0
65587,6200700100000,E50,14189,2014,I,8.0,8013.0
65647,6200700300000,E50,1109,2014,R,8.0,8013.0
65721,6200700400000,E50,2119,2014,R,8.0,8013.0
65865,6201600100000,E50,83080,2014,R,8.0,8031.0
65965,6201830100000,E50,762,2014,R,8.0,8035.0
66018,6201970100000,E50,2294,2014,R,8.0,8037.0
66083,6202100200000,E50,6059,2014,R,8.0,8041.0
66162,6202300500000,E50,46,2014,R,8.0,8045.0
66274,6203000100000,E50,9974,2014,I,8.0,8059.0
66332,6203080100000,E50,1880,2014,I,8.0,8059.0
66482,6203500200000,E50,116,2014,R,8.0,8069.0
66615,6203500400000,E50,6742,2014,I,8.0,8069.0
66673,6203900400000,E50,1894,2014,R,8.0,8077.0
66780,6204500300000,E50,215,2014,R,8.0,8089.0
66834,6204900100000,E50,11683,2014,R,8.0,8097.0
66922,6205100100000,E50,14896,2014,I,8.0,8101.0
66975,6205200200000,E50,207,2014,R,8.0,8103.0
67036,6205400300000,E50,309,2014,R,8.0,8107.0
67142,6206200500000,E50,1937,2014,R,8.0,8123.0
67204,6206201100000,E50,2806,2014,R,8.0,8123.0
67422,6400160100000,E50,23465,2014,R,8.0,8001.0
67608,6400361300000,E50,7605,2014,I,8.0,8005.0
67616,6400361500000,E50,1595,2014,I,8.0,8005.0
67713,6401600100000,E50,103853,2014,R,8.0,8031.0
68316,6403060700000,E50,3737,2014,R,8.0,8059.0
68328,6403060800000,E50,14055,2014,R,8.0,8059.0
66747,6000000000000,E50,87914,2013,R,8.0,
66921,6100100100000,E50,4558,2013,R,8.0,8001.0
67035,6100300300000,E50,2179,2013,R,8.0,8005.0
67116,6100700700000,E50,16983,2013,I,8.0,8013.0
67171,6100800800000,E50,645,2013,R,8.0,8015.0
67260,6101801700000,E50,6914,2013,R,8.0,8035.0
67328,6101901800000,E50,8765,2013,R,8.0,8037.0
67386,6102001900000,E50,283,2013,R,8.0,8039.0
67434,6102102000000,E50,6123,2013,R,8.0,8041.0
67601,6102402300000,E50,242,2013,R,8.0,8047.0
67679,6102602500000,E50,263,2013,R,8.0,8051.0
67754,6103002900000,E50,1228,2013,R,8.0,8059.0
67852,6103403300000,E50,479,2013,R,8.0,8067.0
67986,6103603500000,E50,17,2013,R,8.0,8071.0
68032,6103803700000,E50,83,2013,R,8.0,8075.0
68095,6103903800000,E50,297,2013,I,8.0,8077.0
68159,6104104000000,E50,802,2013,R,8.0,8081.0
68343,6104904800000,E50,863,2013,R,8.0,8097.0
68431,6105105000000,E50,194,2013,R,8.0,8101.0
68492,6105405300000,E50,88,2013,R,8.0,8107.0
68541,6105505400000,E50,257,2013,R,8.0,8109.0
68591,6105905800000,E50,422,2013,R,8.0,8117.0
68811,6200100400000,E50,2971,2013,R,8.0,8001.0
68860,6200100600000,E50,2085,2013,I,8.0,8001.0
68932,6200100700000,E50,6351,2013,R,8.0,8001.0
69071,6200300300000,E50,1265,2013,R,8.0,8005.0
69120,6200300600000,E50,88,2013,R,8.0,8005.0
69226,6200350100000,E50,12211,2013,R,8.0,8005.0
69304,6200700100000,E50,13243,2013,R,8.0,8013.0
69364,6200700300000,E50,1042,2013,R,8.0,8013.0
69427,6200700400000,E50,6087,2013,I,8.0,8013.0
69494,6200700500000,E50,103,2013,R,8.0,8013.0
69626,6201600100000,E50,74403,2013,R,8.0,8031.0
69725,6201810100000,E50,282,2013,R,8.0,8035.0
69752,6201830100000,E50,428,2013,R,8.0,8035.0
69799,6201860200000,E50,1243,2013,R,8.0,8035.0
69853,6201970100000,E50,1865,2013,R,8.0,8037.0
69925,6202100200000,E50,7585,2013,R,8.0,8041.0
69998,6202600200000,E50,16,2013,R,8.0,8051.0
70072,6203000100000,E50,9309,2013,R,8.0,8059.0
70123,6203000300000,E50,1532,2013,R,8.0,8059.0
70208,6203080100000,E50,1755,2013,I,8.0,8059.0
70275,6203200200000,E50,202,2013,R,8.0,8063.0
70402,6203500400000,E50,6292,2013,R,8.0,8069.0
70510,6203900400000,E50,2101,2013,R,8.0,8077.0
70586,6204400200000,E50,131,2013,R,8.0,8087.0
70657,6204900100000,E50,3590,2013,I,8.0,8097.0
70725,6205100100000,E50,13903,2013,I,8.0,8101.0
70826,6205900300000,E50,592,2013,R,8.0,8117.0
70866,6205980100000,E50,677,2013,R,8.0,8117.0
70908,6206000300000,E50,393,2013,I,8.0,8119.0
70954,6206200400000,E50,27,2013,R,8.0,8123.0
71083,6206201100000,E50,2493,2013,R,8.0,8123.0
71377,6400160100000,E50,21606,2013,R,8.0,8001.0
71577,6400361100000,E50,23778,2013,I,8.0,8005.0
71588,6400361300000,E50,7482,2013,I,8.0,8005.0
71706,6401600100000,E50,93799,2013,R,8.0,8031.0
72272,6402160400000,E50,31378,2013,R,8.0,8041.0
72475,6403041400000,E50,16466,2013,R,8.0,8059.0
142824,6000000000000,E50,100272,2012,R,8.0,
142999,6100100100000,E50,4421,2012,R,8.0,8001.0
143109,6100300300000,E50,2971,2012,R,8.0,8005.0
143174,6100400400000,E50,568,2012,R,8.0,8007.0
143266,6100600600000,E50,268,2012,I,8.0,8011.0
143360,6100700700000,E50,16786,2012,R,8.0,8013.0
143422,6100800800000,E50,438,2012,R,8.0,8015.0
143654,6101301300000,E50,288,2012,R,8.0,8025.0
143751,6101501500000,E50,132,2012,R,8.0,8029.0
143846,6101801700000,E50,4535,2012,R,8.0,8035.0
