,idcode,itemcode,amount,year,flag,stateFIPS,countyFIPS
523066,17409630100000,E36,14,2012,R,20.0,20191.0
523101,17409670300000,E36,3945,2012,R,20.0,20191.0
523352,17410100700000,E36,3260,2012,R,20.0,20201.0
62065,6000000000000,E36,807341,2014,R,8.0,
62606,6100900900000,E36,4486,2014,R,8.0,8017.0
63394,6102602500000,E36,22283,2014,R,8.0,8051.0
63887,6103703600000,E36,13460,2014,R,8.0,8073.0
64067,6104104000000,E36,34478,2014,R,8.0,8081.0
64178,6104304200000,E36,80207,2014,S,8.0,8085.0
64878,6105805700000,E36,8154,2014,R,8.0,8115.0
66081,6202100200000,E36,561907,2014,S,8.0,8041.0
67637,6400570200000,E36,12260,2014,I,8.0,8009.0
67679,6400880200000,E36,35814,2014,R,8.0,8015.0
67695,6401570300000,E36,62327,2014,R,8.0,8029.0
67804,6401630500000,E36,737338,2014,R,8.0,8031.0
68199,6402350500000,E36,46756,2014,I,8.0,8045.0
68240,6402850400000,E36,23189,2014,I,8.0,8055.0
68480,6403580300000,E36,35581,2014,R,8.0,8069.0
68571,6404990500000,E36,62674,2014,R,8.0,8097.0
68604,6405080100000,E36,22076,2014,R,8.0,8099.0
66744,6000000000000,E36,709304,2013,R,8.0,
67677,6102602500000,E36,23643,2013,R,8.0,8051.0
68157,6104104000000,E36,30986,2013,R,8.0,8081.0
68286,6104304200000,E36,71324,2013,R,8.0,8085.0
69923,6202100200000,E36,538633,2013,S,8.0,8041.0
69996,6202600200000,E36,2,2013,R,8.0,8051.0
71655,6400880200000,E36,33891,2013,R,8.0,8015.0
71688,6401570300000,E36,62189,2013,R,8.0,8029.0
71802,6401630500000,E36,692669,2013,R,8.0,8031.0
72323,6402350500000,E36,44777,2013,R,8.0,8045.0
72520,6403230100000,E36,12105,2013,R,8.0,8063.0
72619,6403580300000,E36,33128,2013,R,8.0,8069.0
72746,6404990500000,E36,53718,2013,R,8.0,8097.0
72776,6405080100000,E36,23830,2013,R,8.0,8099.0
72978,6406380400000,E36,19133,2013,R,8.0,8125.0
142821,6000000000000,E36,664285,2012,R,8.0,
144337,6102602500000,E36,28642,2012,R,8.0,8051.0
144916,6103703600000,E36,12138,2012,R,8.0,8073.0
145102,6104104000000,E36,28255,2012,R,8.0,8081.0
145223,6104304200000,E36,61329,2012,R,8.0,8085.0
145887,6105805700000,E36,7626,2012,I,8.0,8115.0
149548,6202100200000,E36,515359,2012,R,8.0,8041.0
150648,6202600200000,E36,209,2012,R,8.0,8051.0
159873,6400570200000,E36,11167,2012,R,8.0,8009.0
160500,6400880200000,E36,29487,2012,R,8.0,8015.0
160741,6401180100000,E36,19,2012,R,8.0,8021.0
161096,6401570300000,E36,58176,2012,R,8.0,8029.0
161434,6401630500000,E36,660478,2012,R,8.0,8031.0
164391,6402119800000,E36,2320,2012,I,8.0,8041.0
165372,6402350500000,E36,40649,2012,R,8.0,8045.0
165940,6402590300000,E36,9338,2012,I,8.0,8049.0
166256,6402850400000,E36,21121,2012,R,8.0,8055.0
167577,6403160100000,E36,5472,2012,R,8.0,8061.0
167661,6403230100000,E36,11389,2012,I,8.0,8063.0
167728,6403320100000,E36,7291,2012,I,8.0,8065.0
168859,6403550600000,E36,6512,2012,R,8.0,8069.0
168969,6403580300000,E36,29306,2012,R,8.0,8069.0
169956,6404290200000,E36,47,2012,R,8.0,8083.0
170298,6404470100000,E36,93,2012,I,8.0,8087.0
170788,6404850100000,E36,9892,2012,R,8.0,8095.0
170802,6404850200000,E36,6286,2012,I,8.0,8095.0
171086,6404990500000,E36,52440,2012,R,8.0,8097.0
171233,6405080100000,E36,21264,2012,R,8.0,8099.0
171609,6405250100000,E36,12533,2012,R,8.0,8103.0
171701,6405310100000,E36,413,2012,R,8.0,8105.0
171908,6405450300000,E36,52,2012,R,8.0,8107.0
172723,6406090200000,E36,2320,2012,R,8.0,8119.0
174154,6406380400000,E36,17964,2012,R,8.0,8125.0
174177,6406380600000,E36,10783,2012,R,8.0,8125.0
305020,26000000000000,E36,1672422,2014,R,29.0,
305231,26100400400000,E36,54711,2014,S,29.0,29007.0
305262,26100600600000,E36,22235,2014,R,29.0,29011.0
305425,26101901900000,E36,54202,2014,I,29.0,29037.0
305874,26104904900000,E36,4,2014,R,29.0,29097.0
306082,26108108100000,E36,132172,2014,R,29.0,29161.0
306353,26111111000000,E36,17542,2014,I,29.0,29221.0
307305,26202400500000,E36,24741,2014,I,29.0,29047.0
307410,26202401100000,E36,420000,2014,R,29.0,29047.0
308339,26204900600000,E36,50,2014,R,29.0,29097.0
308822,26206010200000,E36,1388,2014,I,29.0,29119.0
309163,26208000400000,E36,99402,2014,R,29.0,29159.0
311127,26402480300000,E36,153668,2014,R,29.0,29047.0
311162,26403380100000,E36,17792,2014,R,29.0,29065.0
311185,26404280200000,E36,72844,2014,R,29.0,29083.0
311319,26405160500000,E36,63167,2014,R,29.0,29101.0
311443,26408440100000,E36,111979,2014,R,29.0,29167.0
306624,26000000000000,E36,1579478,2013,R,29.0,
306808,26100400400000,E36,49665,2013,R,29.0,29007.0
306839,26100600600000,E36,20074,2013,R,29.0,29011.0
307003,26101901900000,E36,56993,2013,R,29.0,29037.0
307289,26104904900000,E36,3,2013,R,29.0,29097.0
307428,26105705700000,E36,33000,2013,S,29.0,29113.0
307550,26108108100000,E36,162042,2013,R,29.0,29161.0
307649,26108908900000,E36,18556,2013,R,29.0,29177.0
307853,26109709600000,E36,35960,2013,R,29.0,29186.0
308756,26202400500000,E36,23994,2013,R,29.0,29047.0
308902,26202401100000,E36,418889,2013,R,29.0,29047.0
310919,26208000400000,E36,91290,2013,R,29.0,29159.0
312972,26402480300000,E36,166460,2013,R,29.0,29047.0
313038,26403770100000,E36,14967,2013,R,29.0,29073.0
313062,26404280200000,E36,66927,2013,R,29.0,29083.0
313259,26405160500000,E36,73756,2013,R,29.0,29101.0
313358,26408440100000,E36,101066,2013,R,29.0,29167.0
313436,26409390200000,E36,7829,2013,I,29.0,29185.0
313745,26410080100000,E36,17492,2013,R,29.0,29199.0
313780,26410860300000,E36,27176,2013,I,29.0,29215.0
793942,26000000000000,E36,1538516,2012,R,29.0,
794153,26100400400000,E36,51051,2012,R,29.0,29007.0
794203,26100600600000,E36,21768,2012,S,29.0,29011.0
794323,26101001000000,E36,11090,2012,R,29.0,29019.0
794590,26101901900000,E36,54124,2012,R,29.0,29037.0
794841,26102702700000,E36,10309,2012,I,29.0,29053.0
795524,26104904900000,E36,3,2012,R,29.0,29097.0
795770,26105705700000,E36,33299,2012,R,29.0,29113.0
796398,26108108100000,E36,155430,2012,R,29.0,29161.0
796433,26108208200000,E36,664,2012,R,29.0,29163.0
796622,26108808800000,E36,13725,2012,I,29.0,29175.0
796648,26108908900000,E36,19849,2012,R,29.0,29177.0
796910,26109709600000,E36,28793,2012,R,29.0,29186.0
797243,26111111000000,E36,19378,2012,R,29.0,29221.0
801627,26202400500000,E36,22000,2012,I,29.0,29047.0
801809,26202401100000,E36,417779,2012,R,29.0,29047.0
